customer_id,age,gender,region,education_level,employment_type,annual_income,loan_amount,loan_purpose,credit_score,repayment_history,transaction_count,spending_ratio,join_date,default_flag,gender_encoded
C1000,59.0,Other,South,Secondary,Unemployed,744030.94,317948.42,Other,664.5224752,2,150,80.45,2019-04-02,0,2
C1001,49.0,Male,South,Secondary,Self-Employed,1203457.09,550580.94,Car,845.4590272,5,35,33.45,2018-04-13,1,1
C1002,35.0,Female,South,Secondary,Salaried,488693.29,127668.66,Education,577.0954632,3,123,80.98,2021-01-31,0,0
C1003,28.0,Male,East,Graduate,Salaried,638431.4485222222,358062.0,Education,680.0745158817778,1,98,90.53,2020-09-30,1,1
C1004,41.0,Male,West,Secondary,Salaried,343915.13,249095.35,Education,588.5132104,7,34,45.18,2020-07-03,0,1
C1005,40.31739130434783,Female,East,Post-Graduate,Salaried,530145.59,144143.86,Business,640.0686486114522,6,59,59.74,2019-07-26,1,0
C1006,39.0,Other,West,Graduate,Self-Employed,293491.35,138132.75,Other,604.479308,2,109,69.37,2019-02-24,0,2
C1007,43.0,Female,South,Graduate,Unemployed,743263.7,554866.68,Home,640.0686486114522,5,45,25.96,2024-02-12,0,0
C1008,31.0,Female,North,Secondary,Salaried,720398.46,496052.4,Home,596.6318768,2,78,57.06,2018-12-23,0,0
C1009,31.0,Female,South,Graduate,Salaried,593198.06,303599.2,Education,687.4558448,1,81,47.04,2024-08-15,0,0
C1010,44.0,Male,West,Graduate,Salaried,483725.32,320682.25,Other,679.6980256,6,89,85.43,2022-09-25,1,1
C1011,56.0,Male,East,Post-Graduate,Salaried,702850.9,360995.65,Car,596.228072,0,108,85.75,2018-05-11,0,1
C1012,44.0,Female,South,Post-Graduate,Salaried,755595.93,222791.54,Home,672.4476744,5,83,72.56,2018-05-03,0,0
C1013,23.0,Male,East,Graduate,Self-Employed,627943.05,172584.92,Education,582.235444,7,88,69.18,2019-01-19,1,1
