customer_id,age,gender,education_level,employment_type,join_date,annual_income,loan_amount,credit_score,transaction_count,spending_ratio,default_flag,repayment_history,inflation_rate,unemployment_rate,avg_interest_rate,join_year,join_month,join_day,join_weekday,education_level_encoded,gender_encoded,region_East,region_North,region_South,region_West,purpose_Business,purpose_Car,purpose_Education,purpose_Home,purpose_Other,income_band,credit_score_above_700,transaction_count_qbin,transaction_count_kmeans_bin,spending_ratio_log,spending_ratio_sqrt,spending_ratio_reciprocal,loan_amount_boxcox,annual_income_yeojohnson,debt_to_income_ratio,avg_monthly_transactions,spending_to_income_ratio
CUST100000,59.0,Female,Secondary,Self-Employed,2024-07-31,343579.3328761503,245388.3774157788,768.9545417544166,51,33.94141888679641,0,0,7.2,8.56,11.89,2024,7,31,Wednesday,1.0,0,False,False,True,False,False,True,False,False,False,Medium,1.0,Q4,1,3.55367291311997,5.825926440215016,0.028619330063264198,0.5105602466611036,-0.03701765164724522,0.7142116941714701,8.5,0.33941418886796415
CUST100001,49.0,Male,Primary,,2018-11-09,443721.10072199965,84827.36517404705,561.496365122939,55,40.04600085567268,0,0,7.12,7.52,10.17,2018,11,9,Friday,0.0,1,False,False,False,True,False,False,False,True,False,Medium,0.0,Q4,3,3.714693409853592,6.328190962326649,0.02436290939807348,-0.7661234662511937,0.3695360110607205,0.19117270969539293,9.166666666666666,0.4004600085567268
CUST100002,35.0,Female,Post-Graduate,Salaried,2023-07-22,324866.22400722053,199833.7796973686,640.179057060969,48,31.324229915330136,0,0,4.65,3.95,7.17,2023,7,22,Saturday,3.0,0,True,False,False,False,False,False,True,False,False,Medium,0.0,Q3,1,3.475817101182501,5.596805331198338,0.030936545205234374,0.257373651759274,-0.1295093421762722,0.6151263656542117,8.0,0.3132422991533014
CUST100003,63.0,Female,Graduate,Self-Employed,2015-06-24,269247.79276952747,206636.8670436827,632.7241403092659,37,7.168918924662007,0,1,4.93,3.44,11.79,2015,6,24,Wednesday,2.0,0,False,True,False,False,False,True,False,False,False,Low,0.0,Q1,0,2.100336577553719,2.6774836926976806,0.12241521910334976,0.29843599885434147,-0.449118994608723,0.767459836599519,6.166666666666667,0.07168918924662007
CUST100004,28.0,Male,Post-Graduate,Salaried,2019-08-24,171027.96535598708,96097.65853716564,636.322307585529,45,41.07523548148397,0,0,4.93,3.44,11.79,2019,8,24,Saturday,3.0,1,False,True,False,False,True,False,False,False,False,Low,0.0,Q2,2,3.7394593367690865,6.408996448858742,0.023766949573938084,-0.6203626522524617,-1.2854457666185317,0.5618827209757343,7.5,0.41075235481483974
CUST100005,41.0,Male,Post-Graduate,Salaried,2024-12-29,367018.0413899793,226496.3391759984,796.4190684186451,45,27.487756037838125,0,1,4.93,3.44,11.79,2024,12,29,Sunday,3.0,1,False,True,False,False,False,False,True,False,False,Medium,1.0,Q2,2,3.349474382257192,5.242876694891662,0.035102799907152246,0.4114169782365193,0.07034329647655062,0.617125900182471,7.5,0.27487756037838124
CUST100006,59.0,,Graduate,Salaried,2016-04-18,104927.56851646773,48968.72916600701,562.4224901666305,42,6.986029858992405,0,3,4.93,3.44,11.79,2016,4,18,Monday,2.0,3,False,True,False,False,False,False,False,False,True,Low,0.0,Q2,2,2.0776937475511956,2.643109884017765,0.1252186653013804,-1.3953190117244343,-2.296822120956008,0.46669078354104504,7.0,0.06986029858992404
CUST100007,39.0,Female,Graduate,Self-Employed,2020-04-18,240001.6734404467,125512.68056995362,625.4746364096801,48,23.468445078270435,0,0,7.2,8.56,11.89,2020,4,18,Saturday,2.0,0,False,False,True,False,False,True,False,False,False,Low,0.0,Q3,1,3.197384331433549,4.844424122459803,0.04086896395750398,-0.30465421790170144,-0.6522609614649618,0.5229658559072421,8.0,0.23468445078270433
CUST100008,43.0,Female,Graduate,Salaried,2024-05-25,207591.92540757084,26468.27911251546,770.2657999057401,55,22.13557817638302,0,2,7.2,8.56,11.89,2024,5,25,Saturday,2.0,0,False,False,True,False,False,False,False,False,True,Low,1.0,Q4,3,3.141371613461553,4.704846243649523,0.04322347132957359,-2.0757405125079416,-0.9169091178756066,0.12750148668138017,9.166666666666666,0.2213557817638302
CUST100009,31.0,Female,Secondary,Salaried,2015-09-27,313756.94012212753,191758.96011263315,624.1640937328682,45,8.997649555041145,0,0,4.93,3.44,11.79,2015,9,27,Sunday,1.0,0,False,True,False,False,False,False,False,False,True,Medium,0.0,Q2,2,2.3023500208708736,2.999608233593371,0.10002350997547889,0.20689415307767375,-0.1876197578255376,0.6111704175786277,7.5,0.08997649555041144
