customer_id,age,gender,region,education_level,employment_type,annual_income,loan_amount,loan_purpose,credit_score,repayment_history,transaction_count,spending_ratio,join_date,default_flag,gender_encoded
C1000,1.6901330356064703,Other,South,Secondary,Unemployed,0.6108941928679433,-0.0381543075669915,Other,0.49636339036905186,2,150,80.45,2019-04-02,0,2
C1001,0.785477233443361,Male,South,Secondary,Self-Employed,2.3108182590219744,0.4955352880077887,Car,4.169010698437657,5,35,33.45,2018-04-13,1,1
C1002,-0.4810408895849922,Female,South,Secondary,Salaried,-0.33388140649707887,-0.4746811016732766,Education,-1.2782287344675132,3,123,80.98,2021-01-31,0,0
C1003,-1.1142999510991687,Male,East,Graduate,Salaried,0.2201651998911575,0.05387152049546771,Education,0.8120384693597491,1,98,90.53,2020-09-30,1,1
C1004,0.061752591712873464,Male,West,Secondary,Salaried,-0.8695755075783925,-0.19611230536704982,Education,-1.04647148003344,7,34,45.18,2020-07-03,0,1
C1005,6.427966085902237e-16,Female,East,Post-Graduate,Salaried,-0.18050362778893023,-0.436884826135301,Business,-2.307613657416913e-15,6,59,59.74,2019-07-26,1,0
C1006,-0.11917856871974841,Other,West,Graduate,Self-Employed,-1.0561486861587939,-0.4506751030271797,Other,-0.7223918801801156,2,109,69.37,2019-02-24,0,2
C1007,0.24268375214549534,Female,South,Graduate,Unemployed,0.6080553258584882,0.5053673392074177,Home,-2.307613657416913e-15,5,45,25.96,2024-02-12,0,0
C1008,-0.842903210450236,Female,North,Secondary,Salaried,0.5234515832234907,0.3704396459200738,Home,-0.8816789161789746,2,78,57.06,2018-12-23,0,0
C1009,-0.842903210450236,Female,South,Graduate,Salaried,0.05279700427882466,-0.07107330538644312,Education,0.9618645685189613,1,81,47.04,2024-08-15,0,0
C1010,0.33314933236180627,Male,West,Graduate,Salaried,-0.3522634070926723,-0.03188254200699924,Other,0.8043964754972548,6,89,85.43,2022-09-25,1,1
C1011,1.4187362949575375,Male,East,Post-Graduate,Salaried,0.45852380419680333,0.06060169941481212,Car,-0.889875339705964,0,108,85.75,2018-05-11,0,1
C1012,0.33314933236180627,Female,South,Post-Graduate,Salaried,0.6536858468167465,-0.2564567048558911,Home,0.657228960017949,5,83,72.56,2018-05-03,0,0
